OBJECTID,votdst,NAME,SUM_VOTERS,Shape_Length,Shape_Area
1127,0851,NPK 33-0851,555,11807.1247666633,6492039.7863345
1128,0852,NPK 33-0852,456,14400.2767713549,9336731.88792008
1129,0853,NPK 33-0853,319,11265.2470860658,4776658.44362087
1130,0854,NPK 33-0854,446,16565.358155904,8346923.5407845
1131,0855,NPK 33-0855,397,10526.4166747551,4279295.09985664
1132,0857,NPK 33-0857,733,14086.3712377856,7605430.79343591
1133,2474,NPK 33-2474,479,24690.2547694136,14459534.0810092
1134,2644,NPK 33-2644,308,8480.6470068307,2324382.17348829
1135,2645,NPK 33-2645,322,7026.95186919612,2636433.6827393
1136,2646,NPK 33-2646,600,9562.07953097032,4421883.81391662
1137,0881,OSCEOLA,597,42267.026230127,111988042.742217
1138,0885,PAC 30-0885,309,20792.4691330398,15152418.686881
1139,0886,PAC 30-0886,746,17093.3237057465,13448667.5719097
1140,0887,PAC 30-0887,873,12610.7987300958,9479878.17629245
1141,2856,PAC 30-2856,816,10607.1198588881,5851458.1972168
1142,3808,PAC 30-3808,601,10938.4761614904,6868444.21623517
1143,0901,PATTERSON,541,38581.7903410343,53126596.0603298
1144,2446,PEGGY,850,17126.0087258788,14326165.8040134
1145,3625,PINE,162,20053.1073035698,26172056.5910505
1146,0912,PIPELINE,152,17906.4733674145,13952073.5057429
1147,3268,PLAINS,775,55332.3064265626,37543490.3320356
1148,3631,PORT,15,38411.7336789048,28216771.5714299
1149,3340,PORTAGE,442,57694.5435801901,44821698.9540614
1150,0919,PRESTON,771,119173.372142168,493121275.329422
1151,2737,PROVAN,465,17276.0196580005,17155225.7349149
1152,2848,PTARMIGAN,344,16807.6891367003,4671546.76587627
1153,3418,QUAIL,257,20956.4559109403,13610360.7905755
1154,3806,QUAIL CREEK,473,31938.2529800821,23767345.6593719
1155,0924,QUARTERMASTER,372,24462.3573288237,32893824.8130889
1156,0927,RAGING RIVER,539,55730.0549568537,139715109.760699
1157,3472,RATTLESNAKE,713,172927.0813443,770260011.76204
1158,0932,RAVENSDALE,529,75635.9829349499,125316145.941831
1159,0936,RED 45-0936,467,7886.32355833482,3780346.21926834
1160,2410,RED 45-2410,832,19836.7498964989,11806491.5315448
1161,2492,RED 45-2492,372,9215.69402901878,3709077.66232403
1162,2580,RED 45-2580,509,24651.3473438435,27307989.7693487
1163,2638,RED 45-2638,438,10603.7622489247,4976051.46416301
1164,2643,RED 45-2643,414,9748.36994668811,3595569.0065998
1165,2659,RED 45-2659,184,39535.4459896287,40213263.6408631
1166,3281,RED 45-3281,655,12891.7038416839,6925599.58396041
1167,3282,RED 45-3282,764,28782.6557687242,35143602.8641624
1168,3315,RED 45-3315,758,9117.26815857834,3939310.70496902
1169,3547,RED 45-3547,494,13178.8790555801,8306253.42435351
1170,3584,RED 45-3584,640,10637.5201270767,7071178.15165097
1171,3737,RED 45-3737,596,13036.5674028784,6116022.2438934
1172,0935,RED 48-0935,580,11252.1259170315,5654233.863497
1173,0937,RED 48-0937,230,6351.9323745244,2454803.74226574
1174,0938,RED 48-0938,288,8062.79100269505,2980629.15569361
1175,0939,RED 48-0939,473,10428.1860073818,4605320.60842113
1176,0940,RED 48-0940,408,9484.344106434,4230799.99252523
1177,0941,RED 48-0941,327,7892.21936438281,3447433.03001527
1178,0942,RED 48-0942,393,8072.86514429121,3497835.91344325
1179,0944,RED 48-0944,355,6953.37485850132,3078552.18490879
1180,0945,RED 48-0945,443,10264.984352658,4809378.68033163
1181,0947,RED 48-0947,373,7860.11625246785,3386607.37557158
1182,0948,RED 48-0948,228,15940.5094094605,14175128.9592366
1183,0949,RED 48-0949,425,10528.3428242498,4236321.96813877
1184,0950,RED 48-0950,473,12213.9347792494,5568002.04429675
1185,0951,RED 48-0951,351,6888.70784486498,2496073.54828989
1186,0952,RED 48-0952,283,6972.34226308711,2535209.9690179
1187,0953,RED 48-0953,734,15275.5016584189,9855981.1959119
1188,2448,RED 48-2448,516,9125.4873328643,4300900.23550328
1189,2449,RED 48-2449,553,11569.7963629666,4629530.56251248
1190,2466,RED 48-2466,754,13062.0202769214,8309615.79313879
1191,2467,RED 48-2467,427,7985.22326968881,2860986.06738355
1192,2628,RED 48-2628,549,7639.35319173533,2816560.75401667
1193,2629,RED 48-2629,610,7995.8919902389,3512239.81253391
1194,2630,RED 48-2630,379,7490.50397783443,2579277.40588655
1195,2632,RED 48-2632,229,7163.58867261886,2266370.31183181
1196,2633,RED 48-2633,614,11303.3157478809,5150286.01132745
1197,2634,RED 48-2634,363,8747.35443197257,3411793.8133315
1198,2635,RED 48-2635,393,9087.13615085012,4257262.88878059
1199,2636,RED 48-2636,452,8958.78958301637,4736544.75935893
1200,2640,RED 48-2640,452,8413.09055908278,3958487.01107765
1201,2641,RED 48-2641,626,12487.8595879913,6907521.91551617
1202,2789,RED 48-2789,569,7673.2485545252,3502988.13374814
1203,2790,RED 48-2790,591,12963.6869499325,6137138.31545257
1204,2966,RED 48-2966,533,7396.27581942409,2394108.25797714
1205,2967,RED 48-2967,457,18230.934114241,15469570.9025171
1206,2968,RED 48-2968,773,24626.7929950002,30356249.3727457
1207,2969,RED 48-2969,415,12084.3977948639,3990842.64130139
1208,3134,RED 48-3134,362,7944.05732393053,3496507.06047379
1209,3147,RED 48-3147,587,20152.8625605332,14267085.115807
1210,3208,RED 48-3208,650,24911.2346050743,28422119.5986041
1211,3313,RED 48-3313,695,11553.2684787255,6624676.79062117
1212,3316,RED 48-3316,648,8218.79263392481,2731103.04146786
1213,3391,RED 48-3391,746,10370.2129265785,4429792.94445065
1214,3415,RED 48-3415,352,19169.0587489096,9030274.73444997
1215,3475,RED 48-3475,396,21735.9528615129,16323478.8965359
1216,3548,RED 48-3548,293,16141.8350703763,7207256.60349261
1217,3664,RED 48-3664,487,5557.49274689223,1549336.7839045
1218,3738,RED 48-3738,691,8102.7951266741,3787307.09151987
1219,3739,RED 48-3739,281,3836.93193040275,791037.710701648
1220,3809,RED 48-3809,420,6237.61614617153,1852310.12404102
1221,3417,RED MILL,458,14196.0913822049,8050805.23855134
1222,0956,REGAL,545,7845.46390049166,3644096.28150911
1223,2493,REINTREE,543,25501.4382484403,19510594.9630821
1224,0958,RENHILL,437,19506.8295360808,15829726.8856803
1225,3479,RIDGE,799,24098.1898689529,11412604.7648743
1226,1022,RING HILL,758,26646.7405606146,31677425.6307359
1227,2584,RIVERBEND,824,23643.4667697863,22633576.0428346
1228,1024,RIVERSIDE,383,53351.5638707744,54160672.1163079
1229,3698,RNT 05-3698,65,4655.70795844273,874998.830857921
1230,3813,RNT 05-3813,10,3384.14370817618,356773.07902249
1231,0031,RNT 11-0031,741,13347.3217361201,5004652.76833628
1232,0354,RNT 11-0354,523,8095.13487793636,3575044.11322267
1233,0404,RNT 11-0404,602,11808.0754360483,4752584.71504414
1234,0456,RNT 11-0456,743,21071.6595571134,17852959.1890571
1235,0502,RNT 11-0502,804,11734.5923109402,6792035.89915688
1236,0539,RNT 11-0539,540,10887.4285746522,5584705.07202237
1237,0719,RNT 11-0719,251,6205.74460684413,2590152.81775065
1238,0738,RNT 11-0738,546,9271.35355420228,3387238.3924058
1239,0804,RNT 11-0804,579,8558.38927550659,3403968.41011974
1240,0962,RNT 11-0962,356,10746.9712152665,2604755.02528302
1241,0964,RNT 11-0964,564,12155.5419317782,4816216.72414443
1242,0970,RNT 11-0970,273,6766.43179906557,1910732.44108221
1243,0971,RNT 11-0971,631,24845.032190738,14062998.2620313
1244,0973,RNT 11-0973,626,9495.1312495171,4028071.81127644
1245,0975,RNT 11-0975,557,11442.6182082601,4388713.96188286
1246,0978,RNT 11-0978,511,9043.12554188523,3672430.27268328
1247,0979,RNT 11-0979,317,10197.7150885328,4209943.49743901
1248,0980,RNT 11-0980,330,12370.9922624689,4952135.29395328
1249,0981,RNT 11-0981,687,15973.897327591,12580339.807194
1250,0983,RNT 11-0983,841,16486.238037723,9169673.79063771
1251,0984,RNT 11-0984,286,8617.25000581673,2670158.86690398
1252,0985,RNT 11-0985,319,9743.83825197371,4855517.91551651
1253,0986,RNT 11-0986,562,10882.8786494044,7065192.67087172
1254,0988,RNT 11-0988,500,6922.86457886273,2789371.26672235
1255,0990,RNT 11-0990,471,18134.6595401984,11111977.9804095
1256,0992,RNT 11-0992,306,6956.25251519331,2762156.29228817
1257,0996,RNT 11-0996,641,11606.4694682598,7286823.87822855
1258,0997,RNT 11-0997,511,8203.14038884633,3878045.83408902
1259,0998,RNT 11-0998,392,10841.7290157203,5335428.17951206
1260,1002,RNT 11-1002,329,6928.25400610563,2802837.28283756
1261,1004,RNT 11-1004,315,8717.05334543011,2767421.88822932
1262,1006,RNT 11-1006,513,7681.21903369074,3566721.04304797
1263,1007,RNT 11-1007,368,6546.17282573398,2468513.70493492
1264,1008,RNT 11-1008,746,19896.3260762842,15689349.8218862
1265,1011,RNT 11-1011,782,13893.1558578581,6373374.18375312
1266,1012,RNT 11-1012,698,14482.4314853565,7394587.38746833
1267,1015,RNT 11-1015,514,9863.3979206901,5523729.89312224
1268,1109,RNT 11-1109,417,12489.0167176598,5058213.38472003
1269,1125,RNT 11-1125,782,9726.82379507726,5865992.0187637
1270,2475,RNT 11-2475,773,9178.60000888461,5143822.77147634
1271,2581,RNT 11-2581,698,11588.8239303434,6038262.99937342
1272,2582,RNT 11-2582,555,44571.4472575,89236827.3430215
1273,2583,RNT 11-2583,565,9307.09356231751,3846593.28334019
1274,2607,RNT 11-2607,724,12918.28098198,6094847.32357181
1275,2739,RNT 11-2739,307,6673.82038212422,1611650.51235555
1276,2815,RNT 11-2815,751,7918.51406490955,3474875.92539812
1277,2816,RNT 11-2816,642,12203.7386451886,4438372.0572687
1278,2844,RNT 11-2844,833,11522.3520049377,6139954.2075191
1279,2845,RNT 11-2845,630,18264.3722434228,8084115.01873764
